txn_id,period,txn_date,account_code,entity,department,region,segment,customer_id,customer_name,vendor,amount,memo
TXN-2026-07-0001,2026-07,2026-07-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-01,Globex Corp,,70000.0,Subscription revenue
TXN-2026-07-0002,2026-07,2026-07-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-02,Initech Holdings,,65000.0,Subscription revenue
TXN-2026-07-0003,2026-07,2026-07-10,4000,Money Ops US,Sales,EMEA,Enterprise,ENT-03,Umbrella Group,,60000.0,Subscription revenue
TXN-2026-07-0004,2026-07,2026-07-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-04,Stark Industries,,55000.0,Subscription revenue
TXN-2026-07-0005,2026-07,2026-07-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-05,Wayne Enterprises,,50000.0,Subscription revenue
TXN-2026-07-0006,2026-07,2026-07-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-01,Acme Mid,,32383.98,Subscription revenue
TXN-2026-07-0007,2026-07,2026-07-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-02,Northwind Mid,,34639.05,Subscription revenue
TXN-2026-07-0008,2026-07,2026-07-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-03,Contoso Mid,,29839.86,Subscription revenue
TXN-2026-07-0009,2026-07,2026-07-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-05,Soylent Mid,,29256.59,Subscription revenue
TXN-2026-07-0010,2026-07,2026-07-14,4020,Money Ops US,Sales,AMER,SMB,SMB-POOL,SMB Pool (US),,58347.76,Subscription revenue - SMB pool
TXN-2026-07-0011,2026-07,2026-07-14,4020,Money Ops EU,Sales,EMEA,SMB,SMB-POOL,SMB Pool (EU),,25930.23,Subscription revenue - SMB pool
TXN-2026-07-0012,2026-07,2026-07-05,5000,Money Ops US,Engineering,AMER,,,,NimbusHost Cloud,40056.57,Production hosting - base usage
TXN-2026-07-0013,2026-07,2026-07-22,5000,Money Ops US,Engineering,AMER,,,,CloudBeam Compute,11000.0,Elastic compute burst - usage overage
TXN-2026-07-0014,2026-07,2026-07-08,6000,Money Ops US,Sales & Marketing,AMER,,,,Ad Platform Co,50570.09,Digital advertising spend
TXN-2026-07-0015,2026-07,2026-07-16,6000,Money Ops US,Sales & Marketing,AMER,,,,Field Events LLC,21365.04,Regional field events
TXN-2026-07-0016,2026-07,2026-07-09,6010,Money Ops US,G&A,AMER,,,,Corporate Services Inc,49632.54,Corporate overhead allocation
TXN-2026-07-0017,2026-07,2026-07-01,6020,Money Ops US,R&D,AMER,,,,Internal Payroll Allocation,105923.01,Engineering payroll allocation
TXN-2026-07-0018,2026-07,2026-07-18,6100,Money Ops US,Sales,AMER,,,,Corporate Travel Partners,15526.53,T&E - travel partners
TXN-2026-08-0001,2026-08,2026-08-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-01,Globex Corp,,100000.0,Subscription revenue
TXN-2026-08-0002,2026-08,2026-08-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-02,Initech Holdings,,85000.0,Subscription revenue
