txn_id,period,txn_date,account_code,entity,department,region,segment,customer_id,customer_name,vendor,amount,memo
TXN-2026-04-0001,2026-04,2026-04-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-01,Globex Corp,,66089.55,Subscription revenue
TXN-2026-04-0002,2026-04,2026-04-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-02,Initech Holdings,,73054.64,Subscription revenue
TXN-2026-04-0003,2026-04,2026-04-10,4000,Money Ops US,Sales,EMEA,Enterprise,ENT-03,Umbrella Group,,76689.91,Subscription revenue
TXN-2026-04-0004,2026-04,2026-04-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-04,Stark Industries,,71235.19,Subscription revenue
TXN-2026-04-0005,2026-04,2026-04-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-05,Wayne Enterprises,,72939.56,Subscription revenue
TXN-2026-04-0006,2026-04,2026-04-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-01,Acme Mid,,31568.06,Subscription revenue
TXN-2026-04-0007,2026-04,2026-04-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-02,Northwind Mid,,33717.46,Subscription revenue
TXN-2026-04-0008,2026-04,2026-04-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-03,Contoso Mid,,28436.92,Subscription revenue
TXN-2026-04-0009,2026-04,2026-04-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-05,Soylent Mid,,29527.72,Subscription revenue
TXN-2026-04-0010,2026-04,2026-04-14,4020,Money Ops US,Sales,AMER,SMB,SMB-POOL,SMB Pool (US),,59631.32,Subscription revenue - SMB pool
TXN-2026-04-0011,2026-04,2026-04-14,4020,Money Ops EU,Sales,EMEA,SMB,SMB-POOL,SMB Pool (EU),,25278.61,Subscription revenue - SMB pool
TXN-2026-04-0012,2026-04,2026-04-05,5000,Money Ops US,Engineering,AMER,,,,NimbusHost Cloud,40821.37,Production hosting - base usage
TXN-2026-04-0013,2026-04,2026-04-08,6000,Money Ops US,Sales & Marketing,AMER,,,,Ad Platform Co,49445.41,Digital advertising spend
TXN-2026-04-0014,2026-04,2026-04-16,6000,Money Ops US,Sales & Marketing,AMER,,,,Field Events LLC,22426.75,Regional field events
TXN-2026-04-0015,2026-04,2026-04-09,6010,Money Ops US,G&A,AMER,,,,Corporate Services Inc,51560.81,Corporate overhead allocation
TXN-2026-04-0016,2026-04,2026-04-01,6020,Money Ops US,R&D,AMER,,,,Internal Payroll Allocation,103159.98,Engineering payroll allocation
TXN-2026-04-0017,2026-04,2026-04-18,6100,Money Ops US,Sales,AMER,,,,Corporate Travel Partners,14950.09,T&E - travel partners
